Source,Country,Type,Prod_kt_2022,Prod_kt_est_2023,Prod_notes,Reserves_mt,Reserves_notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,United States,Iron ore - mine production - usable ore -thousand metric tons,39000,44000,,3100,"Crude ore, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Australia,Iron ore - mine production - usable ore -thousand metric tons,944000,960000,,58000,"Crude ore, million metric tons. For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 23 billion tons of crude ore and 10 billion tons of iron content.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Brazil,Iron ore - mine production - usable ore -thousand metric tons,435000,440000,,34000,"Crude ore, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Canada,Iron ore - mine production - usable ore -thousand metric tons,69000,70000,,6000,"Crude ore, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Chile,Iron ore - mine production - usable ore -thousand metric tons,17700,18000,,NA,"Crude ore, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,China,Iron ore - mine production - usable ore -thousand metric tons,272000,280000,,20000,"Crude ore, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,India,Iron ore - mine production - usable ore -thousand metric tons,251000,270000,,5500,"Crude ore, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Iran,Iron ore - mine production - usable ore -thousand metric tons,78300,77000,,3300,"Crude ore, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Kazakhstan,Iron ore - mine production - usable ore -thousand metric tons,53600,53000,,2500,"Crude ore, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Mauritania,Iron ore - mine production - usable ore -thousand metric tons,12700,13000,,NA,"Crude ore, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Mexico,Iron ore - mine production - usable ore -thousand metric tons,10800,12000,,NA,"Crude ore, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Peru,Iron ore - mine production - usable ore -thousand metric tons,19300,19000,,2600,"Crude ore, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Russia,Iron ore - mine production - usable ore -thousand metric tons,84200,88000,,29000,"Crude ore, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,South Africa,Iron ore - mine production - usable ore -thousand metric tons,63700,61000,,990,"Crude ore, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Sweden,Iron ore - mine production - usable ore -thousand metric tons,38900,38000,,1300,"Crude ore, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Turkey,Iron ore - mine production - usable ore -thousand metric tons,17700,17000,,152,"Crude ore, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Ukraine,Iron ore - mine production - usable ore -thousand metric tons,34100,36000,,6500," For Ukraine, reserves consist of the A and B categories of the Soviet reserves classification system. Crude ore, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Other countries,Iron ore - mine production - usable ore -thousand metric tons,57200,48000,,18000,"Crude ore, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,World total (rounded),Iron ore - mine production - usable ore -thousand metric tons,2500000,2500000,,190000,"Crude ore, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,United States,Iron ore - mine production - iron content - thousand metric tons,24700,28000,,1300,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Australia,Iron ore - mine production - iron content - thousand metric tons,584000,590000,,27000,"Iron content, million metric tons. For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 23 billion tons of Iron content and 10 billion tons of iron content.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Brazil,Iron ore - mine production - iron content - thousand metric tons,276000,280000,,15000,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Canada,Iron ore - mine production - iron content - thousand metric tons,41400,42000,,2300,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Chile,Iron ore - mine production - iron content - thousand metric tons,11100,11000,,NA,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,China,Iron ore - mine production - iron content - thousand metric tons,170000,170000,,6900,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,India,Iron ore - mine production - iron content - thousand metric tons,156000,170000,,3400,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Iran,Iron ore - mine production - iron content - thousand metric tons,51300,50000,,1500,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Kazakhstan,Iron ore - mine production - iron content - thousand metric tons,8890,8800,,900,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Mauritania,Iron ore - mine production - iron content - thousand metric tons,7950,8100,,NA,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Mexico,Iron ore - mine production - iron content - thousand metric tons,6800,7600,,NA,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Peru,Iron ore - mine production - iron content - thousand metric tons,12900,13000,,1200,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Russia,Iron ore - mine production - iron content - thousand metric tons,55800,58000,,14000,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,South Africa,Iron ore - mine production - iron content - thousand metric tons,40500,39000,,620,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Sweden,Iron ore - mine production - iron content - thousand metric tons,27700,27000,,600,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Turkey,Iron ore - mine production - iron content - thousand metric tons,10700,10000,,99,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Ukraine,Iron ore - mine production - iron content - thousand metric tons,21300,22000,,2300," For Ukraine, reserves consist of the A and B categories of the Soviet reserves classification system. Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Other countries,Iron ore - mine production - iron content - thousand metric tons,32200,27000,,9500,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,World total (rounded),Iron ore - mine production - iron content - thousand metric tons,1540000,1500000,,87000,"Iron content, million metric tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
